id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour,Soleil Beats,r&b,romantic,0.61,96,0.78,0.72,0.44
12,Velvet Underground Suite,Clara Simone,classical,melancholic,0.22,58,0.38,0.28,0.97
13,Neon District,Byte Riot,hip-hop,energetic,0.84,95,0.66,0.85,0.08
14,Drop the Horizon,FLUX,edm,euphoric,0.96,140,0.72,0.93,0.03
15,Iron Prayer,Deadshift,metal,angry,0.95,168,0.29,0.55,0.06
16,River Bones,Ada Hollow,folk,nostalgic,0.31,74,0.54,0.45,0.91
17,Blue Smoke,Marcus Wells,blues,sad,0.44,68,0.34,0.51,0.82
18,Daydream Static,Pastel Drive,dream pop,dreamy,0.53,102,0.73,0.66,0.55
